n00004475	有机体，生物
n09396465	point
n09396608	polar glacier
n09398076	pothole, chuckhole
n09398677	precipice
n09399592	promontory, headland, head, foreland
n09400584	ptyalith
n09400987	pulsar
n09402944	quicksand
n09403086	rabbit burrow, rabbit hole
n09403211	radiator
n09403427	彩虹，虹
n09403734	山脉
n09405078	rangeland
n09405787	ravine
n09406793	reef
n09409512	ridge
n09409752	山脊
n09410224	rift valley
n09411189	riparian forest
n09411295	ripple mark
n09415584	riverbank, riverside
n09415671	riverbed, river bottom
n09416076	岩石，石，石头
n09416890	roof
n09421031	saltpan
n09421799	sandbank
n09421951	sandbar, sand bar
n09422190	sandpit
n09422631	sanitary landfill
n09425019	sawpit
n09425344	scablands
n09428293	岸，沿岸，海岸，海滨
n09428628	seaside, seaboard
n09429630	seif dune
n09432283	shell
n09432990	shiner
n09433312	shoal
n09433442	shore
n09433839	shoreline
n09435739	sinkhole, sink, swallow hole
n09436444	ski slope
n09436708	天空
n09437454	倾斜，坡，斜坡
n09438844	snowcap
n09438940	snowdrift
n09439032	snowfield
n09439213	soapsuds, suds, lather
n09442595	spit, tongue
n09443281	spoor
n09443641	spume
n09444783	恒星，星星
n09445008	steep
n09445289	steppe
n09447666	strand
n09448690	streambed, creek bed
n09450163	太阳，日
n09451237	supernova
n09452291	swale
n09452395	swamp, swampland
n09452760	swell
n09453008	tableland, plateau
n09454153	talus, scree
n09454412	tangle
n09454744	tar pit
n09456207	terrace, bench
n09457979	tidal basin
n09458269	tideland
n09459979	tor
n09460046	tor
n09461069	Trapezium
n09462600	troposphere
n09463226	tundra
n09464486	twinkler
n09466678	uphill
n09467696	urolith
n09468604	山谷，溪谷
n09470027	vehicle-borne transmission
n09470222	vein, mineral vein
n09472413	volcanic crater, crater
n09472597	火山
n09474010	wadi
n09474412	wall
n09474765	warren, rabbit warren
n09475044	wasp's nest, wasps' nest, hornet's nest, hornets' nest
n09475179	watercourse
n09475925	waterside
n09476123	water table, water level, groundwater level
n09478210	whinstone, whin
n09480959	wormcast
n09481120	xenolith
n09493983	Circe
n09495962	gryphon, griffin, griffon
n09505153	spiritual leader
n09537660	messiah, christ
n09556121	Rhea Silvia, Rea Silvia
n09605110	number one
n09606009	冒险者
n09606527	异常的人
n09607630	被任命人，被委派者
n09607782	冒险者
n09607903	东欧或德裔犹太人
n09608709	benefactor, helper
n09610255	color-blind person
n09610405	commoner, common man, common person
n09611722	conservator
n09612700	contrarian
n09613118	contadino
n09613191	contestant
n09613690	cosigner, cosignatory
n09615336	discussant
n09616573	enologist, oenologist, fermentologist
n09616922	entertainer
n09617161	eulogist, panegyrist
n09617435	ex-gambler
n09617577	experimenter
n09617696	experimenter
n09618760	exponent
n09618880	ex-president
n09618957	face
n09619168	female, female person
n09619452	finisher
n09620078	住户，居民
n09620794	native, indigen, indigene, aborigine, aboriginal
n09621232	native
n09622049	juvenile, juvenile person
n09622302	lover
n09624168	male, male person
n09624559	mediator, go-between, intermediator, intermediary, intercessor
n09624899	mediatrix
n09625401	national, subject
n09626238	同行，同辈，同龄人，地位相等的人
n09627807	prize winner, lottery winner
n09627906	recipient, receiver
n09629065	religionist
n09629246	sensualist
n09629752	traveler, traveller
n09631129	unwelcome person, persona non grata
n09632274	unskilled person
n09632518	劳动者，劳工，工人，工作者
n09633969	做坏事的人，罪犯
n09635534	Black African
n09635635	荷裔南非人
n09635973	亚利安人
n09636339	Black, Black person, blackamoor, Negro, Negroid
n09637339	Black woman
n09638454	mulatto
n09638875	White, White person, Caucasian
n09639382	Circassian
n09639919	Semite
n09640327	Chaldean, Chaldaean, Chaldee
n09640715	Elamite
n09641002	white man
n09641578	WASP, white Anglo-Saxon Protestant
n09643799	gook, slant-eye
n09644152	Mongol, Mongolian
n09644657	Tatar, Tartar, Mongol Tatar
n09648743	Nahuatl
n09648911	Aztec
n09649067	Olmec
n09650729	Biloxi
n09650839	Blackfoot
n09650989	Brule
n09651123	Caddo
n09651968	Cheyenne
n09652149	Chickasaw
n09653144	Cocopa, Cocopah
n09653438	Comanche
n09654079	Creek
n09654518	Delaware
n09654898	Diegueno
n09655213	Esselen
n09655466	Eyeish
n09656077	Havasupai
n09657206	Hunkpapa
n09657748	Iowa, Ioway
n09658254	Kalapooia, Kalapuya, Calapooya, Calapuya
n09658398	Kamia
n09658815	Kekchi
n09658921	Kichai
n09659039	Kickapoo
n09659188	Kiliwa, Kiliwi
n09660010	Malecite
n09660240	Maricopa
n09661873	Mohican, Mahican
n09662038	Muskhogean, Muskogean
n09662661	Navaho, Navajo
n09662951	Nootka
n09663248	Oglala, Ogalala
n09663786	Osage
n09663999	Oneida
n09664556	Paiute, Piute
n09664908	Passamaquody
n09665367	Penobscot
n09665545	Penutian
n09666349	Potawatomi
n09666476	Powhatan
n09666883	kachina
n09667358	Salish
n09668199	Shahaptian, Sahaptin, Sahaptino
n09668437	Shasta
n09668562	Shawnee
n09668988	Sihasapa
n09669631	Teton, Lakota, Teton Sioux, Teton Dakota
n09670280	Taracahitian
n09670521	Tarahumara
n09670909	Tuscarora
n09671089	Tutelo
n09672590	Yana
n09672725	Yavapai
n09672840	Yokuts
n09673091	Yuma
n09674412	Gadaba
n09674786	Kolam
n09675045	Kui
n09675673	Toda
n09675799	Tulu
n09675922	Gujarati, Gujerati
n09676021	Kashmiri
n09676247	Punjabi, Panjabi
n09676884	Slav
n09677427	再浸礼教徒，再浸礼论者
n09678747	耶稣再临论者，耶稣复临论者
n09679028	gentile, non-Jew, goy
n09679170	gentile
n09679925	Catholic
n09680908	Old Catholic
n09681107	Uniat, Uniate, Uniate Christian
n09681234	Copt
n09681973	Jewess
n09683180	Jihadist
n09683757	Buddhist
n09683924	Zen Buddhist
n09684082	Mahayanist
n09684901	swami
n09685233	Hare Krishna
n09685806	Shintoist
n09686262	Eurafrican
n09686401	Eurasian
n09688233	Gael
n09688804	Frank
n09689435	阿富汗人
n09689958	阿尔巴尼亚人
n09690083	阿尔及利亚人
n09690208	阿尔泰
n09690496	安道尔人
n09690621	安哥拉人
n09690864	安圭拉人
n09691604	奥地利人
n09691729	Bahamian
n09691858	Bahraini, Bahreini
n09692125	Basotho
n09692915	Herero
n09693244	Luba, Chiluba
n09693982	Barbadian
n09694664	Bolivian
n09694771	Bornean
n09695019	Carioca
n09695132	Tupi
n09695514	Bruneian
n09695620	Bulgarian
n09695979	Byelorussian, Belorussian, White Russian
n09696456	Cameroonian
n09696585	Canadian
n09696763	French Canadian
n09697401	Central American
n09697986	Chilean
n09698644	Congolese
n09699020	Cypriot, Cypriote, Cyprian
n09699642	Dane
n09700125	Djiboutian
n09700964	Britisher, Briton, Brit
n09701148	English person
n09701833	Englishwoman
n09702134	盎格鲁撒克逊人
n09702673	盎格鲁人
n09703101	West Saxon
n09703344	Lombard, Langobard
n09703485	limey, John Bull
n09703708	Cantabrigian
n09703809	Cornishman
n09703932	Cornishwoman
n09704057	Lancastrian
n09704157	Lancastrian
n09704283	Geordie
n09705003	Oxonian
n09705124	Ethiopian
n09705671	阿姆哈拉人
n09705784	Eritrean
n09706029	Finn
n09706255	Komi
n09707061	Livonian
n09707289	Lithuanian
n09707735	Selkup, Ostyak-Samoyed
n09708750	Parisian
n09708889	Parisienne
n09709531	Creole
n09709673	Creole
n09710041	Gabonese
n09710164	Greek, Hellene
n09710886	Dorian
n09711132	雅典人
n09711435	Laconian
n09712324	Guyanese
n09712448	Haitian
n09712696	Malay, Malayan
n09712967	Moro
n09713108	Netherlander, Dutchman, Hollander
n09714120	Icelander
n09714694	Iraqi, Iraki
n09715165	Irishman
n09715303	Irishwoman
n09715427	Dubliner
n09716047	Italian
n09716933	Roman
n09717233	Sabine
n09718217	Japanese, Nipponese
n09718811	Jordanian
n09718936	Korean
n09719309	Kenyan
n09719794	Lao, Laotian
n09720033	Lapp, Lapplander, Sami, Saami, Same, Saame
n09720256	Latin American, Latino
n09720595	Lebanese
n09720702	Levantine
n09720842	Liberian
n09721244	Luxemburger, Luxembourger
n09721444	Macedonian
n09722064	Sabahan
n09722658	Mexican
n09722817	Chicano
n09723067	Mexican-American, Mexicano
n09723819	Namibian
n09723944	Nauruan
n09724234	Gurkha
n09724533	New Zealander, Kiwi
n09724656	Nicaraguan
n09724785	Nigerian
n09725000	Hausa, Haussa
n09725229	North American
n09725546	Nova Scotian, bluenose
n09725653	Omani
n09725772	Pakistani
n09725935	Brahui
n09726621	South American Indian
n09726811	Carib, Carib Indian
n09727440	Filipino
n09727826	Polynesian
n09728137	Qatari, Katari
n09728285	Romanian, Rumanian
n09729062	Muscovite
n09729156	Georgian
n09730077	Sarawakian
n09730204	Scandinavian, Norse, Northman
n09730824	Senegalese
n09731343	Slovene
n09731436	South African
n09731571	South American
n09732170	Sudanese
n09733459	Syrian
n09733793	Tahitian
n09734185	Tanzanian
n09734450	Tibetan
n09734535	Togolese
n09734639	Tuareg
n09735258	Turki
n09735654	Chuvash
n09736485	Turkoman, Turkmen, Turcoman
n09736798	Uzbek, Uzbeg, Uzbak, Usbek, Usbeg
n09736945	Ugandan
n09737050	Ukranian
n09737161	Yakut
n09737453	Tungus, Evenk
n09738121	Igbo
n09738400	美洲人
n09740724	祖籍英国的美国人，英裔美国人
n09741074	阿拉斯加州人
n09741331	阿肯色州人
n09741722	Carolinian
n09741816	Coloradan
n09741904	Connecticuter
n09741999	Delawarean, Delawarian
n09742101	Floridian
n09742315	German American
n09742927	Illinoisan
n09743487	Mainer, Down Easter
n09743601	Marylander
n09743792	Minnesotan, Gopher
n09744161	Nebraskan, Cornhusker
n09744346	New Hampshirite, Granite Stater
n09744462	New Jerseyan, New Jerseyite, Garden Stater
n09744679	New Yorker
n09744834	North Carolinian, Tarheel
n09745229	Oregonian, Beaver
n09745324	Pennsylvanian, Keystone Stater
n09745834	Texan
n09745933	Utahan
n09746936	Uruguayan
n09747191	Vietnamese, Annamese
n09747495	Gambian
n09748101	East German
n09748408	Berliner
n09748648	Prussian
n09748889	Ghanian
n09749386	Guinean
n09750282	Papuan
n09750641	Walloon
n09750770	Yemeni
n09750891	Yugoslav, Jugoslav, Yugoslavian, Jugoslavian
n09751076	Serbian, Serb
n09751496	Xhosa
n09751622	Zairese, Zairean
n09751895	Zimbabwean
n09752023	Zulu
n09752519	Gemini, Twin
n09753348	Sagittarius, Archer
n09753792	Pisces, Fish
n09754152	牧师，长老
n09754217	女修道院院长
n09754633	克制者，放弃者
n09754907	缩写者
n09755086	抽象者，概括者
n09755241	潜逃者，逃匿者
n09755555	宣布免除的人
n09755788	初学者
n09755893	脱离常轨者
n09756049	唆使者，煽动者
n09756195	厌恶者
n09756961	可憎的人
n09757449	沿绳滑下的人
n09758173	禁欲者
n09758885	大学的管理者
n09759501	院士
n09760290	事后从犯
n09760609	companion
n09760913	伴奏者
n09761068	共犯，同谋
n09761753	财务代理人
n09762011	被告
n09762385	原告，控诉者
n09763272	嗜酒者
n09763784	朋友，熟人，相识的人
n09764201	让受方
n09764598	高空杂技师
n09764732	间谍
n09764900	积极的人
n09765118	热心市民，社区活动积极分子
n09765278	演员，演奏者，艺人
n09767197	实干家，行为者
n09769076	热衷于某事的人
n09769525	论证者
n09769929	理赔代理人
n09770179	副官，助手
n09770359	副官，助手
n09771435	仰慕者，爱慕者
n09772330	被收养者
n09772746	奸夫，奸妇，私通者
n09772930	奸妇，淫妇，荡妇，轻佻的女子
n09773962	广告商，拉广告者
n09774167	被劝告者
n09774783	建议者，提倡者，辩护者
n09775907	航空工程师
n09776346	隶属者
n09776642	富人
n09776807	狂热爱好者，癖好者
n09777870	buck sergeant
n09778266	agent-in-place
n09778537	讨厌的人
n09778783	煽动者
n09778927	agnostic
n09779124	不可知论者
n09779280	竞争者
n09779461	答疑者
n09779790	农业家
n09780395	空军武官
n09780828	空军司令官，空军指挥官
n09780984	傻子
n09781398	air traveler, air traveller
n09781504	大惊小怪者，杞人忧天者
n09781650	白化病者
n09782167	嗜酒者，酒鬼，酗酒者，饮酒过度的人
n09782397	市府参事，市议员
n09782855	失读症患者
n09783537	alienee, grantee
n09783776	alienor
n09783884	对阅读或文学不感兴趣的人，能够阅读但对阅读没有兴趣的人
n09784043	代数学者
n09784160	以寓言诠释的人
n09784564	诗人
n09785236	施赈人员
n09785659	登山家
n09785891	祭坛侍童，祭坛助手，辅祭
n09786115	中音歌手
n09787534	大使
n09787765	代表
n09788073	伏兵
n09788237	法院的顾问
n09789150	无道德观的人
n09789566	受切断手术的人，被截肢者
n09789898	类推者，类推论者，类比推理者
n09790047	文盲，目不识丁者
n09790482	分析员，分析家，分析师，分析者
n09791014	industry analyst
n09791419	market strategist
n09791816	无政府主义者
n09792125	受诅咒的对象，被诅咒的人
n09792555	祖先，祖宗
n09792969	主持人，主播，节目主持人
n09793141	ancient
n09793352	健谈者，讲逸事的人
n09793946	钓鱼者
n09794550	漫画制作者
n09794668	万物有灵论者
n09795010	注解者，注释者，评注者
n09795124	广播员，报幕员，播音员
n09795334	告知者
n09796809	anti
n09796974	anti-American
n09797742	仇犹者，反犹者，排犹者
n09797873	Anzac
n09797998	猿人
n09798096	无晶状体，盲人
n09800469	上诉人
n09800964	被任命人，被委派人，被指定人
n09801102	逮捕者
n09801275	愚人节中的受愚弄者
n09801533	怀抱大志者，野心家
n09802445	了解真正价值的人，评价者，赏识者，鉴赏者
n09802641	挪用者，侵占者;，占用者，擅用者，盗用者
n09802951	Arabist
n09804230	archaist
n09805151	大教主
n09805324	射手，弓射手，弓术家
n09805475	建筑师，设计师，设计者
n09806944	案卷保管人
n09807075	主牧师，大主教，教主，高僧，高级教士
n09808080	阿里斯多德学派的人
n09808591	有佩带徽章权利的人
n09809279	军队大使随员
n09809538	陆军工程师
n09809749	军官
n09809925	乐曲改编者
n09810166	到达者
n09811568	arthritic
n09811712	发言者
n09811852	炮兵，炮手
n09813219	模特，被画像的人
n09814252	分析者，试验者
n09814381	议员
n09814488	女议员
n09814567	assenter
n09814660	断言者
n09815455	代理人，委托者
n09815790	助手，助理，帮助者，帮手
n09816654	助理教授
n09816771	合伙人
n09817174	associate
n09817386	副教授
n09818022	太空人，太空船上的飞行员，宇宙飞行员，宇航员，航天员
n09819477	cosmographer, cosmographist
n09820044	无神论者
n09820263	运动员，运动选手
n09821831	跟班，随从
n09822830	检查长，首席检查官
n09823153	旁听生
n09823287	占兆官，占卜官，占卜师，占卜祭司
n09823502	伯母，叔母，妗，妗母，姑，姑妈，姑姑，姑母，姨，姨妈，姨母，婶婶，婶子，婶母，老大妈，舅妈，舅母，阿姨
n09823832	互裨姑娘
n09824135	authoritarian, dictator
n09824609	官方，当局
n09825096	authorizer, authoriser
n09825750	automobile mechanic, auto-mechanic, car-mechanic, mechanic, grease monkey
n09826204	aviator, aeronaut, airman, flier, flyer
n09826605	aviatrix, airwoman, aviatress
n09826821	ayah
n09827246	babu, baboo
n09827363	baby, babe, sister
n09828216	baby
n09828403	baby boomer, boomer
n09828988	baby farmer
n09830194	back
n09830400	backbencher
n09830629	backpacker, packer
n09830759	backroom boy, brain truster
n09830926	backscratcher
n09831962	bad person
n09832456	baggage
n09832633	bag lady
n09832978	bailee
n09833111	bailiff
n09833275	bailor
n09833441	bairn
n09833536	baker, bread maker
n09833751	balancer
n09833997	balker, baulker, noncompliant
n09834258	ball-buster, ball-breaker
n09834378	ball carrier, runner
n09834699	ballet dancer
n09834885	ballet master
n09835017	ballet mistress
n09835153	balletomane
n09835230	ball hawk
n09835348	balloonist
n09835506	ballplayer, baseball player
n09836160	bullfighter, toreador
n09836343	banderillero
n09836519	matador
n09836786	picador
n09837459	bandsman
n09837720	banker
n09838295	bank robber
n09838370	bankrupt, insolvent
n09838621	bantamweight
n09839702	barmaid
n09840217	企业界大亨，大亨，大款，大王，巨头，最有势力者，财阀
n09840435	baron
n09840520	baron
n09841188	bartender, barman, barkeep, barkeeper, mixologist
n09841515	baseball coach, baseball manager
n09841696	base runner, runner
n09842047	basketball player, basketeer, cager
n09842288	basketweaver, basketmaker
n09842395	Basket Maker
n09842528	bass, basso
n09842823	bastard, by-blow, love child, illegitimate child, illegitimate, whoreson
n09843443	bat boy
n09843602	bather
n09843716	batman
n09843824	baton twirler, twirler
n09844457	Bavarian
n09844898	beadsman, bedesman
n09845401	beard
n09845849	beatnik, beat
n09846142	beauty consultant
n09846469	Bedouin, Beduin
n09846586	bedwetter, bed wetter, wetter
n09846755	beekeeper, apiarist, apiculturist
n09846894	beer drinker, ale drinker
n09847267	beggarman
n09847344	beggarwoman
n09847543	beldam, beldame
n09848110	theist
n09848489	believer, truster
n09849167	bell founder
n09849990	benedick, benedict
n09850760	berserker, berserk
n09850974	besieger
n09851165	best, topper
n09851575	betrothed
n09853541	Big Brother
n09853645	bigot
n09853881	big shot, big gun, big wheel, big cheese, big deal, big enchilada, big fish, head honcho
n09854218	big sister
n09854421	billiard player
n09854915	biochemist
n09855433	biographer
n09856401	bird fancier
n09856671	birth
n09856827	birth-control campaigner, birth-control reformer
n09857007	bisexual, bisexual person
n09858165	black belt
n09858299	blackmailer, extortioner, extortionist
n09858733	Black Muslim
n09859152	blacksmith
n09859285	blade
n09859975	blind date
n09861287	bluecoat
n09861599	bluestocking, bas bleu
n09861863	boatbuilder
n09861946	boatman, boater, waterman
n09862183	boatswain, bos'n, bo's'n, bosun, bo'sun
n09862621	bobby
n09863031	bodyguard, escort
n09863339	boffin
n09863749	Bolshevik, Marxist, red, bolshie, bolshy
n09863936	Bolshevik, Bolshevist
n09864632	bombshell
n09864968	bondman, bondsman
n09865068	bondwoman, bondswoman, bondmaid
n09865162	bondwoman, bondswoman, bondmaid
n09865398	bond servant
n09865672	book agent
n09865744	bookbinder
n09866115	bookkeeper
n09866354	bookmaker
n09866559	bookworm
n09866661	booster, shoplifter, lifter
n09866817	bootblack, shoeblack
n09866922	bootlegger, moonshiner
n09867069	bootmaker, boot maker
n09867154	borderer
n09867311	border patrolman
n09868270	botanist, phytologist, plant scientist
n09868782	bottom feeder
n09868899	boulevardier
n09869317	bounty hunter
n09869447	bounty hunter
n09869578	Bourbon
n09870096	bowler
n09871095	slugger, slogger
n09871229	cub, lad, laddie, sonny, sonny boy
n09871681	Boy Scout
n09871867	boy scout
n09871952	boy wonder
n09872066	bragger, braggart, boaster, blowhard, line-shooter, vaunter
n09872557	brahman, brahmin
n09873348	brawler
n09873473	breadwinner
n09873769	breaststroker
n09873899	breeder, stock breeder
n09874428	brick
n09874725	新妇，新娘
n09874862	bridesmaid, maid of honor
n09875025	bridge agent
n09875979	broadcast journalist
n09876701	兄弟
n09877288	brother-in-law
n09877587	browser
n09877750	Brummie, Brummy
n09877951	buddy, brother, chum, crony, pal, sidekick
n09878921	bull
n09879552	bully
n09880189	bunny, bunny girl
n09880741	burglar
n09881265	bursar
n09881358	busboy, waiter's assistant
n09881895	business editor
n09883047	business traveler
n09883452	buster
n09883807	busybody, nosy-parker, nosey-parker, quidnunc
n09885059	buttinsky
n09885866	cabinetmaker, furniture maker
n09886403	caddie, golf caddie
n09886540	cadet, plebe
n09888635	caller, caller-out
n09889065	call girl
n09889170	calligrapher, calligraphist
n09889691	候补，候选人，竞选者，被提名的人
n09889941	camper
n09890192	camp follower
n09890749	candidate, prospect
n09891730	canonist
n09892262	capitalist
n09892513	captain, headwaiter, maitre d'hotel, maitre d'
n09892693	captain, senior pilot
n09893191	captain
n09893344	captain, chieftain
n09893502	captive
n09893600	captive
n09894143	cardinal
n09894445	cardiologist, heart specialist, heart surgeon
n09894654	card player
n09894909	cardsharp, card sharp, cardsharper, card sharper, sharper, sharpie, sharpy, card shark
n09895222	careerist
n09895480	career man
n09895561	caregiver
n09895701	caretaker
n09895902	caretaker
n09896170	caricaturist
n09896311	carillonneur
n09896401	caroler, caroller
n09896685	carpenter
n09896826	carper, niggler
n09898020	Cartesian
n09899289	cashier
n09899671	casualty, injured party
n09899782	伤亡人员，受害者
n09899929	casuist, sophist
n09901337	catechist
n09901502	catechumen, neophyte
n09901642	caterer
n09901786	Catholicos
n09901921	cat fancier
n09902128	Cavalier, Royalist
n09902353	cavalryman, trooper
n09902731	caveman, cave man, cave dweller, troglodyte
n09902851	celebrant
n09902954	celebrant, celebrator, celebrater
n09903153	celebrity, famous person
n09903501	cellist, violoncellist
n09903639	censor
n09903936	censor
n09904208	centenarian
n09904837	centrist, middle of the roader, moderate, moderationist
n09905050	centurion
n09905185	certified public accountant, CPA
n09905530	chachka, tsatske, tshatshke, tchotchke, tchotchkeleh
n09906293	chambermaid, fille de chambre
n09906449	chameleon
n09906704	优胜者，冠军
n09907804	chandler
n09908769	prison chaplain
n09909660	charcoal burner
n09909929	charge d'affaires
n09910222	charioteer
n09910374	charmer, beguiler
n09910556	chartered accountant
n09910840	chartist, technical analyst
n09911226	charwoman, char, cleaning woman, cleaning lady, woman
n09912431	male chauvinist, sexist
n09912681	cheapskate, tightwad
n09912907	Chechen
n09912995	checker
n09913329	cheerer
n09913455	cheerleader
n09913593	cheerleader
n09915434	Cheops, Khufu
n09915651	chess master
n09916348	chief executive officer, CEO, chief operating officer
n09917214	chief of staff
n09917345	chief petty officer
n09917481	Chief Secretary
n09917593	child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling
n09918248	儿子或女儿，后代，孩子，小孩，小孩儿，小孩子
n09918554	child, baby
n09918867	child prodigy, infant prodigy, wonder child
n09919061	chimneysweeper, chimneysweep, sweep
n09919200	chiropractor
n09919451	chit
n09919899	choker
n09920106	choragus
n09920283	choreographer
n09920901	chorus girl, showgirl, chorine
n09921034	chosen
n09923003	cicerone
n09923186	cigar smoker
n09923418	cipher, cypher, nobody, nonentity
n09923561	circus acrobat
n09923673	公民，国民，市民，民
n09923996	city editor
n09924106	city father
n09924195	city man
n09924313	city slicker, city boy
n09924437	civic leader, civil leader
n09924996	civil rights leader, civil rights worker, civil rights activist
n09927089	cleaner
n09927451	clergyman, reverend, man of the cloth
n09928136	cleric, churchman, divine, ecclesiastic
n09928451	书记，书记员，店员，职员，营业员
n09928845	clever Dick, clever clogs
n09929202	climatologist
n09929298	climber
n09929577	clinician
n09930257	closer, finisher
n09930628	closet queen
n09930876	clown, buffoon, goof, goofball, merry andrew
n09931165	clown, buffoon
n09931418	指导，指导员，教练，辅导
n09931640	coach, manager, handler
n09932098	pitching coach
n09932336	coachman
n09932508	coal miner, collier, pitman
n09932788	coastguardsman
n09933020	cobber
n09933098	cobbler, shoemaker
n09933842	codger, old codger
n09933972	co-beneficiary
n09934337	cog
n09934488	cognitive neuroscientist
n09934774	coiffeur
n09935107	coiner
n09935434	collaborator, cooperator, partner, pardner
n09936825	colleen
n09936892	college student, university student
n09937056	collegian, college man, college boy
n09937688	colonial
n09937802	colonialist
n09937903	colonizer, coloniser
n09938080	coloratura, coloratura soprano
n09938449	color guard
n09938991	colossus, behemoth, giant, heavyweight, titan
n09940725	comedian
n09940818	comedienne
n09941089	comer
n09941571	commander
n09941787	commander in chief, generalissimo
n09941964	commanding officer, commandant, commander
n09942697	commissar, political commissar
n09942970	commissioned officer
n09943239	commissioned military officer
n09943811	commissioner
n09944022	commissioner
n09944160	committee member
n09944430	committeewoman
n09945021	commodore
n09945223	communicant
n09945319	communist, commie
n09945603	共产主义者，共产党员
n09945745	commuter
n09946814	compere
n09947127	complexifier
n09950457	compulsive
n09950728	computational linguist
n09951070	computer scientist
n09951274	computer user
n09951524	Comrade
n09951616	concert-goer, music lover
n09952163	conciliator, make-peace, pacifier, peacemaker, reconciler
n09953052	售票员
n09953350	confectioner, candymaker
n09953615	Confederate
n09954355	confessor
n09954639	confidant, intimate
n09955406	Confucian, Confucianist
n09955944	rep
n09956578	conqueror, vanquisher
n09957523	Conservative
n09958133	Nonconformist, chapelgoer
n09958292	英国圣公会信徒
n09958447	consignee
n09958569	consigner, consignor
n09959142	constable
n09959658	constructivist
n09960688	contractor
n09961198	contralto
n09961331	contributor
n09961469	control freak
n09961605	convalescent
n09961739	convener
n09962966	convict, con, inmate, yard bird, yardbird
n09964202	copilot, co-pilot
n09964411	copycat, imitator, emulator, ape, aper
n09965515	coreligionist
n09965787	cornerback
n09966470	corporatist
n09966554	correspondent, letter writer
n09967063	cosmetician
n09967406	cosmopolitan, cosmopolite
n09967555	Cossack
n09967816	cost accountant
n09967967	co-star
n09968259	costumier, costumer, costume designer
n09968652	cotter, cottier
n09968741	cotter, cottar
n09968845	counselor, counsellor
n09970088	counterterrorist
n09970192	内奸，反间谍
n09970402	countess
n09970822	compromiser
n09971273	countrywoman
n09971385	county agent, agricultural agent, extension agent
n09971839	courtier
n09972010	堂兄，堂兄弟姊妹，堂哥，堂妹，堂姊，堂姐，堂弟，表兄，表兄弟姊妹，表哥，表妹，表姊，表姐，表弟
n09972458	cover girl, pin-up, lovely
n09972587	cow
n09974648	匠人，学徒期满的职工，工匠，技工，技师
n09975425	craftsman, crafter
n09976024	crapshooter
n09976283	crazy, loony, looney, nutcase, weirdo
n09976429	creature, wight
n09976728	creditor
n09976917	creep, weirdo, weirdie, weirdy, spook
n09978442	criminologist
n09979321	critic
n09979913	Croesus
n09980458	cross-examiner, cross-questioner
n09980805	crossover voter, crossover
n09980985	croupier
n09981092	crown prince
n09981278	crown princess
n09981540	cryptanalyst, cryptographer, cryptologist
n09981939	Cub Scout
n09982152	cuckold
n09982525	cultist
n09983314	curandera
n09983572	教区牧师，牧师
n09983889	curator, conservator
n09984960	customer agent
n09985470	cutter, carver
n09985809	cyberpunk
n09985978	cyborg, bionic man, bionic woman
n09986450	cymbalist
n09986700	Cynic
n09986904	cytogeneticist
n09987045	cytologist
n09987161	czar
n09987239	czar, tsar, tzar
n09988063	爸，爸爸，爹，爹爹
n09988311	dairyman
n09988493	Dalai Lama, Grand Lama
n09988703	dallier, dillydallier, dilly-dallier, mope, lounger
n09989502	dancer, professional dancer, terpsichorean
n09990415	dancer, social dancer
n09990690	clog dancer
n09990777	dancing-master, dance master
n09991740	dark horse
n09991867	亲昵的人，亲爱的人，喜欢的事物，心爱的人，爱人
n09992538	护花使者
n09992837	女儿
n09993252	dawdler, drone, laggard, lagger, trailer, poke
n09993651	day boarder
n09994400	day laborer, day labourer
n09994673	deacon, Protestant deacon
n09994808	deaconess
n09994878	deadeye
n09995829	deipnosophist
n09996039	dropout
n09996304	deadhead
n09996481	deaf person
n09997622	debtor, debitor
n09998788	deckhand, roustabout
n09999135	defamer, maligner, slanderer, vilifier, libeler, backbiter, traducer
n10000294	defense contractor
n10000459	deist, freethinker
n10000787	代表
n10001217	deliveryman, delivery boy, deliverer
n10001481	demagogue, demagog, rabble-rouser
n10001764	demigod, superman, Ubermensch
n10002257	demographer, demographist, population scientist
n10002760	示威者
n10003476	den mother
n10004718	department head
n10005006	depositor
n10005934	deputy
n10006177	dermatologist, skin doctor
n10006748	descender
n10007684	designated hitter
n10007809	designer, intriguer
n10007995	desk clerk, hotel desk clerk, hotel clerk
n10008123	desk officer
n10008254	desk sergeant, deskman, station keeper
n10009162	detainee, political detainee
n10009276	侦探，刑警
n10009484	detective
n10009671	detractor, disparager, depreciator, knocker
n10010062	developer
n10010243	deviationist
n10010632	devisee
n10010767	devisor
n10010864	devourer
n10011360	dialectician
n10011486	diarist, diary keeper, journalist
n10012484	dietician, dietitian, nutritionist
n10013811	diocesan
n10015215	director, theater director, theatre director
n10015485	理事，董事
n10015792	dirty old man
n10015897	disbeliever, nonbeliever, unbeliever
n10017272	disk jockey, disc jockey, dj
n10017422	dispatcher
n10018747	distortionist
n10018861	distributor, distributer
n10019072	district attorney, DA
n10019187	district manager
n10019406	diver, plunger
n10020366	divorcee, grass widow
n10020533	ex-wife, ex
n10020670	divorce lawyer
n10020807	docent
n10020890	医师，医生，大夫
n10022908	dodo, fogy, fogey, fossil
n10023264	doge
n10023506	dog in the manger
